Wave,Time,Type,X,Y
13,0,2,640,150
13,0,2,-200,-360
13,0,2,200,-360
13,0,2,-100,-360
13,0,2,100,-360
13,0,2,-300,360
13,0,2,300,360
13,0,2,-639,-120
13,0,2,639,120
14,0,0,660,0
14,0,0,700,40
14,0,0,760,-20
14,0,3,900,120
14,0,3,960,-160
14,0,3,880,160
14,0,3,820,-120
14,0,3,700,200
14,0,3,760,-80
14,0,3,840,40
14,0,2,-640,-200
14,0,2,640,200
14,0,2,-640,100
14,0,2,640,-100
14,0,2,-640,-50
14,0,2,640,50
14,0,2,-200,-360
14,0,2,200,-360
14,0,2,-100,-360
14,0,2,100,-360
14,0,2,-300,360
14,0,2,300,360
15,0,0,660,0
15,0,0,720,80
15,0,0,780,-60
15,0,3,900,140
15,0,3,960,-120
15,0,3,880,40
15,0,1,1000,0
15,0,2,-640,200
15,0,2,640,-200
15,0,2,-640,150
15,0,2,640,-150
15,0,2,-200,-360
15,0,2,200,-360
15,0,2,-100,-360
15,0,2,100,-360
15,0,2,-639,160
15,0,2,639,-160
15,0,2,-639,0
15,0,2,639,0
